,rowNum,ID,actrorID,cdateTime,followerCount,statusesCount,tweetType,body,countryregion,Longitude,Latitude,relevant
112,428754,642569060430053376,2298700003,2015-09-12 05:22:57.000,68,802,tweet,Congrats on the win tonight JV My boys be spittin fire out there keep https t co F2wLQXBKNT,None,-124.482003,32.528832,0
114,432508,642569817728286720,2458315812,2015-09-12 05:25:57.000,436,4462,tweet,monicaa_loves bus caught on fire,None,-118.26238799999999,34.521265,0
116,437195,642570811052683264,612343752,2015-09-12 05:29:54.000,1280,3948,tweet,My hair gonna take so long to grow back but it ll be fire,None,-121.172793,37.453362,0
117,437528,642570874596405248,43846520,2015-09-12 05:30:09.000,415892,114539,tweet,LALATE ButteFire Map 2015 SanAndreas California Fire Threatens Amador Calaveras http t co 64jgfOecX7 http t co rtDWHQzRIf,None,-118.66840400000001,33.704538,1
118,437714,642570908859654144,43846520,2015-09-12 05:30:17.000,415892,114540,tweet,LALATE ButteFire Map 2015 SanAndreas California Fire Threatens Amador Calaveras http t co 64jgfOecX7 http t co 58tZe1RrCX,None,-118.66840400000001,33.704538,1
123,447799,642573097757835264,2453786161,2015-09-12 05:38:59.000,272,3980,tweet,Can t lie I was spitting some fire at the game,None,-121.385846,38.529015,0
126,458212,642575485046771712,24787301,2015-09-12 05:48:28.000,268,1159,tweet,Love shack is on fire b52s Hollywood Bowl https t co SfxtYJoM4U,California,-118.66840400000001,33.704538,0
127,460453,642575985120940032,1621808610,2015-09-12 05:50:27.000,317,16732,tweet,The sour patch watermelon slurpee is fire,None,-118.26238799999999,34.521265,0
129,464849,642577007147020288,164830107,2015-09-12 05:54:31.000,1681,8977,tweet,You don t have to have cookies 24 7 You just gotta be reliable and have fire,None,-122.34266000000001,37.699279,0
131,465397,642577141327003650,1606472113,2015-09-12 05:55:03.000,735,208987,tweet,MED MEDICAL at WB I84 FWY TO EXIT 18 amp LEWIS amp CLARK STATE PARK MULTNOMAH COUNTY OR Corbett Fire RC15000000375 21 29 pdx911,Oregon,-124.70354099999999,41.991795,0
132,465851,642577257941221376,532519906,2015-09-12 05:55:31.000,348,22988,tweet,Can we talk about how on fucking fire cheer was tonight,South Dakota,-117.28253799999999,32.53962,0
133,466048,642577304984649728,1223643325,2015-09-12 05:55:42.000,20,705,tweet,The Butte Fire is engulfing the air in Sutter Creek buttefire buttefire2015 amadorcoundy https t co Vhvc4ij7aA,California,-120.819771,38.371891,1
135,468196,642577804974948352,2336234916,2015-09-12 05:57:41.000,131,2179,tweet,Win or lose student section brought fire to Friday night LHHSpride miranda_sparkle Stellaremily62 ganaduh http t co D6pTanvAAk,None,-117.976849,33.903616,0
136,472102,642578747829260289,1670358343,2015-09-12 06:01:26.000,109,1061,tweet,let s start a fire,None,-121.93130500000001,37.39609,0
137,472648,642578882940407808,1853267755,2015-09-12 06:01:58.000,750,19204,tweet,Butte fire is crazy,None,-121.4878638,38.379179,1
138,473951,642579192249344000,818717916,2015-09-12 06:03:12.000,715,47889,tweet,Goodnight ButteFire updates and other Fire Updates will continue tomorrow out,,-124.482003,32.528832,1
140,474528,642579337103867904,206044808,2015-09-12 06:03:47.000,32,521,tweet,GrogSD XayideSD my fire breath will make quick work of them,California,-117.146102,33.057781899999995,0
141,475089,642579489537589248,16365231,2015-09-12 06:04:23.000,45,409,tweet,The Toledo Show was fun amazing never disappoints fire breathing burlesque dancing on walls and https t co k12y2fwX0F,California,-118.51735749999999,33.9951771,0
142,478837,642580419146199042,26645398,2015-09-12 06:08:05.000,103,205,tweet,KristinasCall Thanks for a week of HOT reporting amp tragic destructive fire watch amp homes aflame amp game what a week WISH YOU A COOL WKND,None,-121.576613,38.43792,0
144,485660,642582179755593730,2606766367,2015-09-12 06:15:04.000,199,8685,tweet,My momma fire asf,California,-118.23616399999999,34.630799700000004,0
147,496968,642585189567213568,35010510,2015-09-12 06:27:02.000,120,9522,tweet,taylorswift13 6th grade woke up wishing my mother a happy birthday amp I saw a building DC on fire Didn t understand why my mom cried,California,-118.36918600000001,33.8729138,0
149,498628,642585673489252352,18338254,2015-09-12 06:28:57.000,548,9973,tweet,PauletteTable I don t know It was bad through there but Cal Fire heroically protected a lot of property in that area,California,-122.514926,37.708075,0
150,501500,642586490287992832,18338254,2015-09-12 06:32:12.000,548,9974,tweet,PauletteTabler I want you to know I really know very little I m just trying to keep up with what the radios and Cal Fire are saying,California,-122.514926,37.708075,0
151,503953,642587208805842944,1242369955,2015-09-12 06:35:03.000,1162,25088,tweet,Rough Fire up to 117k acres http t co eUTsPNDm71,Arizona,-124.482003,32.528832,1
152,507570,642588306132234240,31322304,2015-09-12 06:39:25.000,166,47009,tweet,411wrestling If WWE is going to fire HulkHogan over his racism then they shouldn t let MichaelHayes in soon after,California,-124.482003,32.528832,0
156,514418,642590409529495552,1242369955,2015-09-12 06:47:47.000,1162,25090,tweet,And there s the Butte fire which has grown to over 60k acres in two days http t co lybCmEYdbN,Arizona,-124.482003,32.528832,1
157,514627,642590475111698432,347017492,2015-09-12 06:48:02.000,1278,33006,tweet,you re like this album Fire af http t co bCV2uXqW6b,None,-115.316075,35.96075310000001,0
160,516072,642590960749178880,2437843195,2015-09-12 06:49:58.000,1299,42383,tweet,FurWhut I m fire http t co CmVjH5sYwO,None,-118.26238799999999,34.521265,0
162,519198,642592023732617216,2787298706,2015-09-12 06:54:11.000,887,8595,tweet,The only fire that is getting put out in California right now is the one next to your snapchat name,California,-119.58329199999999,36.677704999999996,0
163,519498,642592119954259968,26181414,2015-09-12 06:54:34.000,113,122,tweet,Fire pick 1 Oui absoluteoui rn74_sf RN74 https t co 12tcmK7LHx,Pennsylvania,-122.514926,37.708075,0
164,519570,642592144100712449,268403532,2015-09-12 06:54:40.000,524,1142,tweet,To learn to read is to light a fire every syllable that is spelled out is a spark Victor Hugo quote,California,-122.514926,37.708075,0
165,524219,642593740192804864,2451837478,2015-09-12 07:01:01.000,166,15229,tweet,pokem ster s main starter idol trio would be a fire water grass trio more could be scouted later on like in Cinderella Girls via pokeballs,None,-118.0632981,33.791963,0
167,537471,642598476518436865,1634639311,2015-09-12 07:19:50.000,198,3047,tweet,This is so awesome So many people working so hard to put out this fire https t co RCXgiSMwhI,None,-120.819771,38.371891,0
169,544453,642601229533716480,54463831,2015-09-12 07:30:46.000,974,18972,tweet,Yikes California was on fire A thick dark smoky haze was seen obscuring the majority of the skies above at sunset http t co 2rseU9KKP7,California,-122.03531100000001,37.193164,1
170,547724,642602627855835136,28224038,2015-09-12 07:36:20.000,193,1880,tweet,94 year old WWII Vet Bugler accompanied us to Fire Station 77 on our 9 11 walk TY everyone who came NeverForget911 http t co HoE17onOHE,California,-118.66840400000001,33.704538,0
171,553190,642605054596243456,2891356819,2015-09-12 07:45:58.000,301,526,tweet,My heart amp prayers go out to all the family s affected by the fire God has a plan for everyone one of you Don t lose hope,None,-124.482003,32.528832,0
172,553548,642605231293923328,3146508935,2015-09-12 07:46:40.000,65,2752,tweet,Omfg Jasper is planning on releasing a mixtape that shit gonna be fire,California,-122.514926,37.708075,0
173,554060,642605474186047488,7178502,2015-09-12 07:47:38.000,1605,75158,tweet,Like if I could draw fire all over the slide to add a flame transition to my presentation that would be pretty ace,California,-122.34266000000001,37.699279,0
176,559430,642608238827933696,48773791,2015-09-12 07:58:37.000,215,7700,tweet,MorganSaysShlaw MattFigg yo that was fire tho Also watched deathnote subbed and that was hard tho,California,-121.07434199999999,37.59485,0
177,562584,642609929048584192,1110829994,2015-09-12 08:05:20.000,216,1945,tweet,EllieGAlways the new album is so fire like she was so right when she said it was bigger Oh and she s bae http t co fUSCNfIRVs,California,-118.66840400000001,33.704538,0
178,563777,642610605401096193,3103556966,2015-09-12 08:08:02.000,125,305,tweet,we fire the fact that I don t know this kid http t co nQOdAzm1SO,None,-117.26139199999999,33.755615,0
179,567524,642612803656744960,573972208,2015-09-12 08:16:46.000,548,9842,tweet,Bww is dropping that fire,None,-117.401199,34.0503113,0
182,569756,642614239530643456,98565105,2015-09-12 08:22:28.000,436,5633,tweet,FIRE indigoilla,None,-122.514926,37.708075,0
186,577569,642619896078053376,2946750126,2015-09-12 08:44:57.000,243,705,tweet,Fucking des gave me a ghost pepper and my lips are on fire Desirayyee,None,-117.117116,32.582128000000004,0
187,577667,642619967251152896,446614939,2015-09-12 08:45:14.000,651,13784,tweet,Sal does good in BP Hey Drizzy feel my hands I m on fire,California,-121.576613,38.43792,0
188,580325,642622076470226944,154844542,2015-09-12 08:53:37.000,956,6502,tweet,I ve eaten this much salsa and my mouth is on fire http t co MFG1iwQhL9,California,-117.28253799999999,32.53962,0
190,580379,642622131990171648,131652688,2015-09-12 08:53:50.000,357,29795,tweet,That cupcake was fire,California,-118.250227,33.732905,0
194,595707,642637764832325632,293788087,2015-09-12 09:55:57.000,312,12820,tweet,JereXCX wheyes Patrick He s hot like fire ok,California,-122.5001644,37.649122,0
195,596250,642638465809707009,2567352996,2015-09-12 09:58:44.000,1246,18654,tweet,SBScanner I think the female is at an apt complex on the 400 block E 3rd St Fire Dept amp PD enroute,California,-124.482003,32.528832,0
198,600688,642643317293842433,865317474,2015-09-12 10:18:01.000,155,5784,tweet,I left a barbeque packet in my container put it in the microwave almost caught fire,None,-120.11039699999999,36.928736,0
203,610185,642654108697014273,230968926,2015-09-12 11:00:54.000,1005,12740,tweet,Fire as fuck https t co 8vkqM1t7Y9,None,-119.93256799999999,36.648905,0
205,619781,642662533451542528,223127012,2015-09-12 11:34:22.000,192,388,tweet,before the throne were burning seven torches of fire which are the seven spirits of God,California,-118.66840400000001,33.704538,0
206,631748,642670560732839936,360381444,2015-09-12 12:06:16.000,478,23069,tweet,It s 5am and some fuck set off the fire alarm r u kidding rn,California,-118.66840400000001,33.704538,0
208,634123,642671759276138496,608387958,2015-09-12 12:11:02.000,155,2480,tweet,Who pulled the fucking fire alarm at 5 in the morning,None,-119.06175800000001,34.126875,1
213,695244,642695738095353857,1945960657,2015-09-12 13:46:19.000,529,120,tweet,Walking through Fire means putting Divine Teaching into practice http t co qZLaHMzD3T http t co j9eQVR4LD0,New Mexico,-117.2301723,33.0907611,0
215,718372,642701876526342145,589232732,2015-09-12 14:10:42.000,108,4194,tweet,Reaching a point in MGSV where I starting to fire a lot of my D E rank people because it s easier now to get A B people,California,-122.514926,37.708075,0
217,725473,642703624359927814,323393048,2015-09-12 14:17:39.000,1264,4833,tweet,Evac orders for Butte Fire from CAL_FIRE New acreage should be out any time,California,-124.482003,32.528832,1
218,728546,642704345436327936,323393048,2015-09-12 14:20:31.000,1264,4836,tweet,3300 fire personnel now on ButteFire,California,-124.482003,32.528832,1
220,732404,642705237627662337,363104193,2015-09-12 14:24:04.000,149,1664,tweet,End baseline budgeting end C R budgets fire SpeakerBoehner amp grow a pair That s how u straighten out our debt bullsandbears,California,-122.104336,37.925263,0
223,757806,642710804924493824,22700717,2015-09-12 14:46:11.000,1509,32297,tweet,That butte calaveras county fire has turned the valley sky hazy We ve got a hot pink sun right now Which I am going to sleep through,California,-121.07434199999999,37.59485,1
225,767811,642712895533379584,523315274,2015-09-12 14:54:29.000,98,167,tweet,When you wake up in the morning and think the house is on fire cuz your whole house smells like fire,None,-121.111768,38.621986,1
227,776978,642714784509509632,282164422,2015-09-12 15:02:00.000,712,2200,quote,Awful fire Be careful out there https t co qlc0sItpH9,California,-122.16343799999999,38.15792800000001,0
229,800025,642719259609530368,1939819428,2015-09-12 15:19:47.000,133,543,tweet,Our Fire Fighting program honoring the fallen of 9 11 on Clovis NeverForget911 http t co hxXA3sRVkX,None,-122.03531100000001,37.193164,0
232,806304,642720427131994112,456213722,2015-09-12 15:24:25.000,420,909,tweet,Fresh Riverside Breakfast picnic in Zion FOOD FIRE https t co k5jiepFNJX,Michigan,-114.052999,36.997904999999996,0
236,826339,642724034669473793,280130413,2015-09-12 15:38:45.000,301,27560,tweet,Ronaldo is just on fire Stop it Cris,California,-118.667975,34.220202,0
238,827904,642724317344587777,81635577,2015-09-12 15:39:53.000,38,596,tweet,bradmattson ugh Fire season sucks Hope the fire lines can hold Good luck Uncle Brad,California,-118.52153899999999,35.116904999999996,0
239,841029,642726618528509953,65171105,2015-09-12 15:49:01.000,14350,172644,tweet,Vehicle on fire in Rosemead on I 10 EB after Rosemead Blvd LAtraffic http t co e2e6MW3d78,California,-118.10824199999999,34.03441,1
241,856499,642729184855371780,1481206022,2015-09-12 15:59:13.000,150,817,tweet,ddonovan97 but my prayers stopped the fire,None,-124.482003,32.528832,1
243,863262,642730273252077568,2776873054,2015-09-12 16:03:33.000,7378,5450,tweet,CFB 1st Half TEAM TOTALS RealMoves 398 OVER 20 125 NEW MEXICO Handful of others went off at 9am not enough time to FIRE amp Tweet,Nevada,-115.384091,36.129459000000004,0
245,867575,642730979677863936,44141753,2015-09-12 16:06:21.000,943,18672,tweet,Mz Fire broke a spoke on the last incline hoping he can fix it so I can https t co 9X9gZ0kSPh,California,-124.482003,32.528832,0
246,869326,642731273014763520,51815545,2015-09-12 16:07:31.000,1123,1743,tweet,Today s lineup as we take on the Los Angeles County Fire Department for the championship LosAngeles NewYork http t co imUajH8I3H,New York,-118.66840400000001,33.704538,0
247,872080,642731717430677505,270580999,2015-09-12 16:09:17.000,594,38355,tweet,But I set fire to the rain,None,-118.66840400000001,33.704538,0
250,894122,642735306479792128,3026649638,2015-09-12 16:23:33.000,268,670,tweet,Butte Fire threatens San Andreas CHP office and DMV Offices closed http t co QAuUqHj8x1,California,-120.04196100000001,38.822602,1
251,899828,642736227800625152,2337034370,2015-09-12 16:27:12.000,432,3397,tweet,my dads warehouse got caught on fire and my whole family left me,None,-117.6110675,33.9251972,0
252,904567,642736997040152580,370438796,2015-09-12 16:30:16.000,56,60,tweet,The Butte fire is devastating Nor Ca Stay safe,None,-117.0843043,32.927402,0
